##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
clknet_2_2_0_clk,net55 0.000636 0.002372 0.001736 0.001736 272.767485 {}
_101_,net79 0.001663 0.004107 0.002444 0.002444 147.003368 {}
net3,net6 0.000575 0.000000 0.000575 -0.000575 100.000000 {}
net12,net23 0.000689 0.000000 0.000689 -0.000689 100.000000 {}
net25,net43 0.000715 0.000000 0.000715 -0.000715 100.000000 {}
net26,net33 0.000467 0.000000 0.000467 -0.000467 100.000000 {}
net1,net43 0.001406 0.000000 0.001406 -0.001406 100.000000 {}
net35,net53 0.001222 0.000126 0.001096 -0.001096 89.700416 {}
net36,net55 0.000517 0.000078 0.000439 -0.000439 84.921341 {}
_101_,clknet_2_1_0_clk 0.000401 0.000721 0.000321 0.000321 80.093814 {}
dpath.a_lt_b$in0[10],dpath.a_lt_b$in1[10] 0.000416 0.000710 0.000294 0.000294 70.762967 {}
net42,net55 0.000419 0.000153 0.000266 -0.000266 63.413116 {}
_101_,net13 0.000626 0.000897 0.000271 0.000271 43.244182 {}
net36,net68 0.000958 0.001363 0.000405 0.000405 42.276945 {}
_111_,_137_ 0.001221 0.001710 0.000489 0.000489 40.064245 {}
clknet_2_1_0_clk,net82 0.000416 0.000563 0.000147 0.000147 35.469111 {}
_101_,net64 0.000675 0.000909 0.000234 0.000234 34.600735 {}
dpath.a_lt_b$in0[1],net75 0.000748 0.000957 0.000209 0.000209 27.959237 {}
net33,net36 0.000416 0.000521 0.000105 0.000105 25.221805 {}
_101_,_150_ 0.000588 0.000732 0.000144 0.000144 24.516271 {}
_101_,net103 0.000589 0.000729 0.000140 0.000140 23.734560 {}
_087_,net64 0.000439 0.000542 0.000103 0.000103 23.454210 {}
_023_,dpath.a_lt_b$in0[4] 0.000562 0.000694 0.000132 0.000132 23.439134 {}
_042_,_058_ 0.000647 0.000797 0.000151 0.000151 23.291834 {}
dpath.a_lt_b$in0[11],dpath.a_lt_b$in1[11] 0.000405 0.000499 0.000094 0.000094 23.233289 {}
dpath.a_lt_b$in1[10],net36 0.000469 0.000577 0.000109 0.000109 23.158537 {}
_101_,_111_ 0.000744 0.000914 0.000170 0.000170 22.844719 {}
_112_,net36 0.001933 0.001491 0.000441 -0.000441 22.834994 {}
_101_,dpath.a_lt_b$in1[15] 0.000401 0.000489 0.000089 0.000089 22.169354 {}
dpath.a_lt_b$in0[12],dpath.a_lt_b$in1[12] 0.000761 0.000927 0.000166 0.000166 21.856110 {}
dpath.a_lt_b$in1[14],net36 0.000821 0.000644 0.000177 -0.000177 21.551696 {}
req_msg[29],req_rdy 0.000481 0.000382 0.000098 -0.000098 20.420100 {}
req_msg[25],resp_msg[9] 0.000498 0.000398 0.000100 -0.000100 20.152744 {}
req_msg[27],req_msg[29] 0.000498 0.000399 0.000100 -0.000100 19.992172 {}
req_msg[20],req_msg[2] 0.000545 0.000438 0.000107 -0.000107 19.660105 {}
req_msg[23],resp_msg[7] 0.000545 0.000438 0.000107 -0.000107 19.660105 {}
dpath.a_lt_b$in0[9],net36 0.000635 0.000759 0.000124 0.000124 19.587523 {}
_060_,dpath.a_lt_b$in1[8] 0.000687 0.000821 0.000134 0.000134 19.542799 {}
_137_,dpath.a_lt_b$in0[9] 0.000735 0.000879 0.000144 0.000144 19.516046 {}
req_rdy,resp_msg[11] 0.000475 0.000382 0.000093 -0.000093 19.492064 {}
resp_msg[11],resp_msg[13] 0.000507 0.000409 0.000098 -0.000098 19.313679 {}
req_msg[26],resp_msg[10] 0.000498 0.000404 0.000094 -0.000094 18.816788 {}
req_msg[21],req_msg[8] 0.000498 0.000405 0.000093 -0.000093 18.664245 {}
net36,net64 0.000418 0.000496 0.000078 0.000078 18.615488 {}
_070_,net80 0.000600 0.000712 0.000112 0.000112 18.600263 {}
_055_,net70 0.000439 0.000520 0.000081 0.000081 18.552446 {}
