##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
clknet_2_2_0_clk,net55 0.000636 0.001943 0.001307 0.001307 205.452032 {}
net3,net6 0.000575 0.000000 0.000575 -0.000575 100.000000 {}
net12,net23 0.000689 0.000000 0.000689 -0.000689 100.000000 {}
net25,net43 0.000715 0.000000 0.000715 -0.000715 100.000000 {}
net26,net33 0.000467 0.000000 0.000467 -0.000467 100.000000 {}
net1,net43 0.001406 0.000000 0.001406 -0.001406 100.000000 {}
net35,net53 0.001222 0.000112 0.001110 -0.001110 90.807863 {}
net36,net55 0.000517 0.000098 0.000418 -0.000418 81.003508 {}
_101_,net79 0.001663 0.002964 0.001302 0.001302 78.275213 {}
net42,net55 0.000419 0.000102 0.000317 -0.000317 75.562016 {}
_038_,_064_ 0.000433 0.000197 0.000237 -0.000237 54.602156 {}
_091_,clknet_1_0_0_clk 0.001108 0.000515 0.000593 -0.000593 53.536464 {}
net36,net46 0.000554 0.000263 0.000291 -0.000291 52.490979 {}
_178_,dpath.a_lt_b$in1[15] 0.000554 0.000264 0.000290 -0.000290 52.277894 {}
_112_,net36 0.001933 0.000924 0.001009 -0.001009 52.197139 {}
_089_,dpath.a_lt_b$in0[14] 0.000733 0.000351 0.000382 -0.000382 52.113180 {}
ctrl.state.out[1],net34 0.000831 0.000398 0.000433 -0.000433 52.097407 {}
_145_,net44 0.000647 0.000311 0.000336 -0.000336 51.951902 {}
dpath.a_lt_b$in0[15],net1 0.000689 0.000332 0.000357 -0.000357 51.827807 {}
_095_,_105_ 0.001339 0.000645 0.000694 -0.000694 51.807974 {}
